county,Measure Names,Day of Date,Measure Values
Wood,Case fatality percentage,"October 22, 2021",0.011961480
Winnebago,Case fatality percentage,"October 22, 2021",0.010053532
Waushara,Case fatality percentage,"October 22, 2021",0.015050167
Waupaca,Case fatality percentage,"October 22, 2021",0.020886551
Waukesha,Case fatality percentage,"October 22, 2021",0.011806935
Washington,Case fatality percentage,"October 22, 2021",0.010181632
Washburn,Case fatality percentage,"October 22, 2021",0.012153622
Walworth,Case fatality percentage,"October 22, 2021",0.013580140
Vilas,Case fatality percentage,"October 22, 2021",0.017259234
Vernon,Case fatality percentage,"October 22, 2021",0.019473494
Trempealeau,Case fatality percentage,"October 22, 2021",0.010259631
Taylor,Case fatality percentage,"October 22, 2021",0.011976048
St. Croix,Case fatality percentage,"October 22, 2021",0.007049345
Sheboygan,Case fatality percentage,"October 22, 2021",0.010042093
Shawano,Case fatality percentage,"October 22, 2021",0.012818379
Sawyer,Case fatality percentage,"October 22, 2021",0.012625163
Sauk,Case fatality percentage,"October 22, 2021",0.007452318
Rusk,Case fatality percentage,"October 22, 2021",0.016275730
Rock,Case fatality percentage,"October 22, 2021",0.011032792
Richland,Case fatality percentage,"October 22, 2021",0.010115607
Racine,Case fatality percentage,"October 22, 2021",0.015274166
Price,Case fatality percentage,"October 22, 2021",0.006590773
Portage,Case fatality percentage,"October 22, 2021",0.010784199
Polk,Case fatality percentage,"October 22, 2021",0.011265033
Pierce,Case fatality percentage,"October 22, 2021",0.007760962
Pepin,Case fatality percentage,"October 22, 2021",0.008928571
Ozaukee,Case fatality percentage,"October 22, 2021",0.009732807
Outagamie,Case fatality percentage,"October 22, 2021",0.009623032
Oneida,Case fatality percentage,"October 22, 2021",0.017729000
Oconto,Case fatality percentage,"October 22, 2021",0.010953825
Monroe,Case fatality percentage,"October 22, 2021",0.00848
Milwaukee,Case fatality percentage,"October 22, 2021",0.011281893
Menominee,Case fatality percentage,"October 22, 2021",0.011714590
Marquette,Case fatality percentage,"October 22, 2021",0.013861386
Marinette,Case fatality percentage,"October 22, 2021",0.012367491
Marathon,Case fatality percentage,"October 22, 2021",0.011851696
Manitowoc,Case fatality percentage,"October 22, 2021",0.008662473
Lincoln,Case fatality percentage,"October 22, 2021",0.019535114
Langlade,Case fatality percentage,"October 22, 2021",0.012960437
Lafayette,Case fatality percentage,"October 22, 2021",0.005750131
La Crosse,Case fatality percentage,"October 22, 2021",0.006695598
Kewaunee,Case fatality percentage,"October 22, 2021",0.010204082
Kenosha,Case fatality percentage,"October 22, 2021",0.018255477
Juneau,Case fatality percentage,"October 22, 2021",0.006666667
Jefferson,Case fatality percentage,"October 22, 2021",0.012062371
Jackson,Case fatality percentage,"October 22, 2021",0.008841463
Iron,Case fatality percentage,"October 22, 2021",0.029370629
Iowa,Case fatality percentage,"October 22, 2021",0.006120888
Green Lake,Case fatality percentage,"October 22, 2021",0.010734930
Green,Case fatality percentage,"October 22, 2021",0.005464481
Grant,Case fatality percentage,"October 22, 2021",0.016291108
Forest,Case fatality percentage,"October 22, 2021",0.019203414
Fond du Lac,Case fatality percentage,"October 22, 2021",0.008799612
Florence,Case fatality percentage,"October 22, 2021",0.026666667
Eau Claire,Case fatality percentage,"October 22, 2021",0.008200989
Dunn,Case fatality percentage,"October 22, 2021",0.007261247
Douglas,Case fatality percentage,"October 22, 2021",0.009201171
Door,Case fatality percentage,"October 22, 2021",0.009192761
Dodge,Case fatality percentage,"October 22, 2021",0.013537536
Dane,Case fatality percentage,"October 22, 2021",0.006195342
Crawford,Case fatality percentage,"October 22, 2021",0.010114943
Columbia,Case fatality percentage,"October 22, 2021",0.008850763
Clark,Case fatality percentage,"October 22, 2021",0.016771488
Chippewa,Case fatality percentage,"October 22, 2021",0.010848694
Calumet,Case fatality percentage,"October 22, 2021",0.007521998
Burnett,Case fatality percentage,"October 22, 2021",0.015430562
Buffalo,Case fatality percentage,"October 22, 2021",0.004239534
Brown,Case fatality percentage,"October 22, 2021",0.006720362
Bayfield,Case fatality percentage,"October 22, 2021",0.015838733
Barron,Case fatality percentage,"October 22, 2021",0.011360799
Ashland,Case fatality percentage,"October 22, 2021",0.009784736
Adams,Case fatality percentage,"October 22, 2021",0.010233320
Wood,"Deaths per 100,000 people (counties)","October 22, 2021",161.646049946
Winnebago,"Deaths per 100,000 people (counties)","October 22, 2021",134.374981822
Waushara,"Deaths per 100,000 people (counties)","October 22, 2021",184.101787833
Waupaca,"Deaths per 100,000 people (counties)","October 22, 2021",272.602471073
Waukesha,"Deaths per 100,000 people (counties)","October 22, 2021",160.317468172
Washington,"Deaths per 100,000 people (counties)","October 22, 2021",146.286957672
Washburn,"Deaths per 100,000 people (counties)","October 22, 2021",159.033078880
Walworth,"Deaths per 100,000 people (counties)","October 22, 2021",151.153386991
Vilas,"Deaths per 100,000 people (counties)","October 22, 2021",225.275963055
Vernon,"Deaths per 100,000 people (counties)","October 22, 2021",175.199532801
Trempealeau,"Deaths per 100,000 people (counties)","October 22, 2021",165.266956727
Taylor,"Deaths per 100,000 people (counties)","October 22, 2021",157.302266136
St. Croix,"Deaths per 100,000 people (counties)","October 22, 2021",84.907428849
Sheboygan,"Deaths per 100,000 people (counties)","October 22, 2021",144.789318537
Shawano,"Deaths per 100,000 people (counties)","October 22, 2021",188.268661825
Sawyer,"Deaths per 100,000 people (counties)","October 22, 2021",175.141925353
Sauk,"Deaths per 100,000 people (counties)","October 22, 2021",91.555196921
Rusk,"Deaths per 100,000 people (counties)","October 22, 2021",239.808153477
Rock,"Deaths per 100,000 people (counties)","October 22, 2021",132.228167048
Richland,"Deaths per 100,000 people (counties)","October 22, 2021",121.725017389
Racine,"Deaths per 100,000 people (counties)","October 22, 2021",212.418050950
Price,"Deaths per 100,000 people (counties)","October 22, 2021",82.390832147
Portage,"Deaths per 100,000 people (counties)","October 22, 2021",129.994913243
Polk,"Deaths per 100,000 people (counties)","October 22, 2021",169.015371263
Pierce,"Deaths per 100,000 people (counties)","October 22, 2021",93.558497451
Pepin,"Deaths per 100,000 people (counties)","October 22, 2021",137.230684781
Ozaukee,"Deaths per 100,000 people (counties)","October 22, 2021",118.806110669
Outagamie,"Deaths per 100,000 people (counties)","October 22, 2021",128.802192831
Oneida,"Deaths per 100,000 people (counties)","October 22, 2021",235.988200590
Oconto,"Deaths per 100,000 people (counties)","October 22, 2021",171.368310045
Monroe,"Deaths per 100,000 people (counties)","October 22, 2021",114.587161914
Milwaukee,"Deaths per 100,000 people (counties)","October 22, 2021",162.520645515
Menominee,"Deaths per 100,000 people (counties)","October 22, 2021",241.439859526
Marquette,"Deaths per 100,000 people (counties)","October 22, 2021",179.786824194
Marinette,"Deaths per 100,000 people (counties)","October 22, 2021",173.482032218
Marathon,"Deaths per 100,000 people (counties)","October 22, 2021",166.553665655
Manitowoc,"Deaths per 100,000 people (counties)","October 22, 2021",106.354692901
Lincoln,"Deaths per 100,000 people (counties)","October 22, 2021",286.304497517
Langlade,"Deaths per 100,000 people (counties)","October 22, 2021",198.030121424
Lafayette,"Deaths per 100,000 people (counties)","October 22, 2021",66.006600660
La Crosse,"Deaths per 100,000 people (counties)","October 22, 2021",91.513015184
Kewaunee,"Deaths per 100,000 people (counties)","October 22, 2021",146.814133307
Kenosha,"Deaths per 100,000 people (counties)","October 22, 2021",215.261764203
Juneau,"Deaths per 100,000 people (counties)","October 22, 2021",101.172855698
Jefferson,"Deaths per 100,000 people (counties)","October 22, 2021",145.100213521
